api_2gram,frequency
GetModuleFileNameA->FreeEnvironmentStringsA,128
_unlock->abort,128
SetHandleCount->GetStdHandle,126
abort->calloc,126
LCMapStringA->MultiByteToWideChar,125
GetStringTypeW->GetStringTypeA,118
UnhandledExceptionFilter->SetUnhandledExceptionFilter,118
LeaveCriticalSection->EnterCriticalSection,117
GetCurrentProcess->UnhandledExceptionFilter,114
EnterCriticalSection->LeaveCriticalSection,110
GetProcAddress->GetStartupInfoA,109
SetHandleCount->GetFileType,108
QueryPerformanceCounter->GetCurrentProcessId,107
_onexit->_unlock,105
GetOEMCP->GetCPInfo,103
GetLastError->GetModuleHandleA,102
fprintf->free,101
ExitProcess->TerminateProcess,100
fwrite->malloc,99
strncmp->vfprintf,99
HeapReAlloc->HeapSize,97
UnhandledExceptionFilter->FreeEnvironmentStringsA,96
FreeEnvironmentStringsA->FreeEnvironmentStringsW,93
__argv->__dllonexit,93
libintl_gettext->libintl_textdomain,93
GetCommandLineA->GetVersion,92
exit->fclose,92
_cexit->_exit,92
GetEnvironmentStrings->GetEnvironmentStringsW,91
exit->fprintf,91
WideCharToMultiByte->GetEnvironmentStringsW,90
WideCharToMultiByte->GetEnvironmentStrings,89
GetVersion->ExitProcess,88
TlsSetValue->TlsFree,88
GetStringTypeA->GetStringTypeW,88
TlsSetValue->TlsGetValue,86
WriteFile->GetStdHandle,84
GetFileType->DeleteCriticalSection,84
GetStdHandle->GetModuleFileNameA,84
LoadLibraryA->GetACP,83
libintl_bind_textdomain_codeset->libintl_bindtextdomain,83
__argc->__argv,82
signal->strlen,82
__C_specific_handler->__argc,81
UnhandledExceptionFilter->GetModuleFileNameA,80
GetCPInfo->GetACP,79
GetFileType->HeapDestroy,78
HeapAlloc->HeapFree,78
TlsAlloc->HeapDestroy,78
GetModuleFileNameA->UnhandledExceptionFilter,78
GetCommandLineA->GetVersionExA,77
libintl_bindtextdomain->libintl_gettext,76
_cexit->_errno,76
SetLastError->GetCurrentThreadId,75
HeapFree->HeapAlloc,74
DeleteCriticalSection->TlsFree,72
MultiByteToWideChar->LCMapStringW,72
memcpy->memset,72
GetProcAddress->GetModuleHandleA,71
LCMapStringW->LCMapStringA,71
_errno->_fmode,71
MultiByteToWideChar->WideCharToMultiByte,70
HeapFree->HeapReAlloc,70
strchr->strcmp,70
memcpy->signal,69
SetUnhandledExceptionFilter->IsDebuggerPresent,68
GetOEMCP->IsValidCodePage,68
GetCurrentProcess->WriteFile,68
GetCurrentThreadId->TlsSetValue,68
LCMapStringA->LCMapStringW,65
GetStringTypeA->LCMapStringW,64
TlsFree->SetLastError,64
gtk_container_get_type->gtk_container_set_border_width,63
__wgetmainargs->_amsg_exit,63
SetUnhandledExceptionFilter->UnhandledExceptionFilter,62
GetConsoleMode->GetConsoleCP,61
gtk_dialog_get_content_area->gtk_dialog_get_type,61
RtlUnwind->WriteFile,60
TerminateProcess->UnhandledExceptionFilter,60
HeapReAlloc->LoadLibraryA,60
VirtualAlloc->HeapReAlloc,60
_cexit->_fmode,60
LeaveCriticalSection->DeleteCriticalSection,59
GetCurrentProcess->TerminateProcess,59
exit->__set_app_type,59
gimp_procedural_db_get_data->gimp_procedural_db_set_data,59
gtk_container_set_border_width->gtk_dialog_get_content_area,59
LCMapStringW->GetStringTypeA,58
gimp_ui_init->gimp_window_set_transient,58
LockResource->LoadResource,57
WriteFile->ReadFile,57
TlsAlloc->TlsSetValue,57
_exit->exit,57
SizeofResource->LockResource,56
GetFileType->GetStartupInfoA,56
GetCurrentProcessId->QueryPerformanceCounter,56
VirtualFree->HeapFree,56
GetModuleHandleA->VirtualAlloc,55
GetModuleFileNameA->GetModuleHandleA,55
gtk_box_get_type->gtk_box_pack_start,55
gtk_widget_show->gtk_window_get_type,55
HeapFree->RtlUnwind,54
g_signal_connect_data->g_type_check_instance_cast,54
HeapAlloc->HeapReAlloc,53
LoadResource->FindResourceW,53
HeapCreate->HeapFree,53
gtk_dialog_get_type->gtk_dialog_set_alternative_button_order,53
_initterm->__setusermatherr,53
HeapDestroy->HeapAlloc,52
HeapSize->GetProcessHeap,52
CoInitializeEx->CoUninitialize,52
gimp_window_set_transient->DeleteCriticalSection,52
gimp_plugin_menu_register->gimp_procedural_db_get_data,52
__set_app_type->__wgetmainargs,52
CloseHandle->GetLastError,51
GetModuleFileNameW->GetModuleHandleW,51
GetCPInfo->GetOEMCP,51
QueryPerformanceCounter->GetTickCount,51
GetCurrentThreadId->GetCurrentProcessId,51
gimp_dialog_get_type->gimp_dialog_new,51
gimp_dialog_new->gimp_dialog_run,51
strerror->strlen,51
GetProcAddress->LoadLibraryW,50
RegCloseKey->RegOpenKeyExW,50
GetSystemTimeAsFileTime->LCMapStringA,50
GetStringTypeW->GetLocaleInfoA,50
GetOEMCP->HeapAlloc,50
gimp_procedural_db_set_data->gimp_progress_init,50
gimp_drawable_flush->gimp_drawable_get,50
IsValidCodePage->LCMapStringA,49
HeapSize->QueryPerformanceCounter,49
FindResourceW->FindResourceExW,48
GetConsoleOutputCP->WriteConsoleA,48
GetModuleHandleW->GetProcAddress,48
gtk_table_get_type->gtk_table_new,48
gtk_window_get_type->libintl_bind_textdomain_codeset,48
lstrlenW->lstrlenA,47
GetTickCount->SetLastError,47
VariantCopy->VariantClear,47
_commode->_fmode,47
gimp_progress_init->gimp_progress_update,47
memcpy->memmove,47
gimp_install_procedure->gimp_main,47
InterlockedIncrement->MultiByteToWideChar,46
GetLastError->GetCurrentProcess,46
SetStdHandle->GetStringTypeW,46
LCMapStringW->SetHandleCount,46
VirtualFree->QueryPerformanceCounter,46
strncmp->strncpy,46
fopen->fprintf,46
fprintf->fputc,46
gimp_drawable_detach->gimp_drawable_flush,46
WideCharToMultiByte->SizeofResource,45
GetCurrentProcess->Sleep,45
lstrlenA->GetTickCount,45
WriteConsoleW->CreateFileA,45
GetConsoleCP->SetFilePointer,45
GetModuleHandleA->TlsGetValue,45
TlsFree->ExitProcess,45
RtlVirtualUnwind->RtlLookupFunctionEntry,45
GetSystemTimeAsFileTime->GetCurrentThreadId,45
InitializeCriticalSection->InterlockedIncrement,44
FindResourceExW->CloseHandle,44
Sleep->lstrlenW,44
GetNativeSystemInfo->GetVersionExW,44
GetVersionExW->CreateThread,44
CreateThread->GetModuleFileNameW,44
GetEnvironmentStringsW->WriteFile,44
InterlockedDecrement->EnterCriticalSection,44
InterlockedExchange->GetACP,44
GetACP->GetLocaleInfoA,44
GetLocaleInfoA->GetThreadLocale,44
GetThreadLocale->GetVersionExA,44
GetVersionExA->RaiseException,44
RaiseException->HeapDestroy,44
GetProcessHeap->TerminateProcess,44
IsDebuggerPresent->RtlUnwind,44
RtlUnwind->GetCurrentThreadId,44
GetCurrentThreadId->GetCommandLineA,44
GetCommandLineA->GetModuleHandleA,44
ExitProcess->GetCPInfo,44
GetStartupInfoA->GetModuleFileNameA,44
FreeEnvironmentStringsW->HeapCreate,44
LoadStringW->UnregisterClassA,44
VariantClear->SysStringLen,44
SysStringLen->SysAllocString,44
GetVersionExA->ExitProcess,44
EnterCriticalSection->LoadLibraryA,44
GetCPInfo->InitializeCriticalSection,44
lstrcatA->CreateFileA,44
GetLastError->GetStartupInfoA,44
__C_specific_handler->__dllonexit,44
memmove->memset,44
fputs->free,44
EnumServicesStatusW->RegQueryValueExW,43
gtk_table_new->gtk_table_set_col_spacings,43
strcmp->strcpy,43
GetModuleHandleA->GetStdHandle,43
GetStdHandle->VirtualProtect,43
VirtualQuery->WriteFile,43
GetOEMCP->GetACP,42
ntohl->inet_addr,42
GetWindowsDirectoryA->lstrcatA,42
GetTickCount->GetSystemTimeAsFileTime,42
__setusermatherr->_configthreadlocale,42
cygwin_conv_to_posix_path->cygwin_internal,42
libintl_fprintf->libintl_gettext,42
htonl->ntohl,41
inet_addr->UuidFromStringW,41
UuidFromStringW->GetProcAddress,41
LoadLibraryW->InitializeCriticalSection,41
SetLastError->CreateMutexW,41
CreateMutexW->GetNativeSystemInfo,41
GetStringTypeA->LoadLibraryA,41
LoadLibraryA->VirtualAlloc,41
SetFilePointer->InterlockedExchange,41
UnregisterClassA->RegCloseKey,41
CLSIDFromString->CoCreateInstance,41
VariantInit->VariantCopy,41
TlsGetValue->TlsSetValue,41
VirtualProtect->RtlUnwind,41
GetSystemTimeAsFileTime->GetCurrentProcessId,41
_exit->_cexit,41
fwrite->getenv,41
VirtualQuery->GetSystemInfo,40
HeapFree->LeaveCriticalSection,40
g_type_check_instance_cast->gtk_box_get_type,40
__errno->__main,40
libintl_bindtextdomain->libintl_fprintf,40
DuplicateHandle->CreatePipe,39
CreatePipe->GetEnvironmentStringsW,39
CreateFileA->FlushFileBuffers,39
FlushFileBuffers->WaitForSingleObject,39
RegOpenKeyExW->EnumServicesStatusW,39
SysAllocString->VariantChangeType,39
GetTickCount->GetCurrentProcessId,39
_initterm->_initterm_e,39
cygwin_internal->dll_crt0__FP11per_process,39
WriteConsoleA->InterlockedDecrement,38
DeleteCriticalSection->WriteConsoleW,38
WaitForSingleObject->SetStdHandle,38
VirtualAlloc->GetConsoleMode,38
GetSystemTimeAsFileTime->LoadStringW,38
CoUninitialize->CLSIDFromString,38
VirtualFree->LeaveCriticalSection,38
_amsg_exit->_XcptFilter,38
_initterm_e->_initterm,38
gimp_displays_flush->gimp_drawable_detach,38
InterlockedCompareExchange->GetConsoleOutputCP,37
CoCreateInstance->VariantInit,37
GetEnvironmentStringsW->FreeEnvironmentStringsW,37
EnterCriticalSection->HeapReAlloc,37
RtlLookupFunctionEntry->RtlCaptureContext,37
gtk_toggle_button_get_type->gtk_toggle_button_set_active,37
GetModuleHandleW->DuplicateHandle,36
RegQueryValueExW->CoInitializeEx,36
VariantChangeType->SysFreeString,36
SysFreeString->SysAllocStringByteLen,36
GetCPInfo->HeapAlloc,36
MultiByteToWideChar->LoadLibraryA,36
QueryPerformanceCounter->GetSystemTimeAsFileTime,36
gimp_progress_update->gimp_tile_cache_ntiles,36
gimp_drawable_merge_shadow->gimp_drawable_update,36
ReadFile->InterlockedCompareExchange,35
TlsAlloc->TlsGetValue,35
GetSystemInfo->VirtualProtect,35
IsBadWritePtr->IsBadReadPtr,35
EncodePointer->DecodePointer,35
GetTickCount->QueryPerformanceCounter,35
vfprintf->gimp_displays_flush,35
gtk_widget_destroy->gtk_widget_show,35
fputc->fputs,35
fread->free,35
gtk_table_set_col_spacings->gtk_table_set_row_spacings,35
__dllonexit->_unlock,35
GetACP->GetCPInfo,34
HeapAlloc->InitializeCriticalSection,34
gimp_drawable_get->gimp_drawable_has_alpha,34
g_free->g_malloc,34
fclose->fflush,34
GetLocaleInfoA->RtlUnwind,33
GetVersionExA->HeapFree,33
VirtualFree->VirtualAlloc,33
_configthreadlocale->__setusermatherr,33
InitializeCriticalSection->VirtualAlloc,32
GetWindowsDirectoryW->lstrcatW,32
_onexit->__dllonexit,32
HeapAlloc->TerminateProcess,31
RtlUnwind->GetLocaleInfoA,31
lstrcatW->CreateFileW,31
GetConsoleCP->GetConsoleMode,31
dll_crt0__FP11per_process->exit,31
gtk_container_add->gtk_container_get_type,31
libintl_textdomain->libintl_vfprintf,31
malloc->free,31
IsBadReadPtr->HeapValidate,30
?terminate@@YAXXZ->_commode,30
getenv->malloc,30
_unlock->_lock,30
memcmp->memcpy,30
GetProcAddress->GetLastError,29
SetFilePointer->GetStringTypeW,29
RegQueryValueExW->RegOpenKeyExW,29
RegOpenKeyExW->RegQueryValueExW,29
gimp_locale_directory->gimp_dialog_get_type,29
gtk_box_new->g_free,29
atoi->calloc,29
signal->sprintf,29
__printf__->libintl_bindtextdomain,29
GetLastError->GetProcAddress,28
VirtualAlloc->Sleep,28
gimp_drawable_is_gray->gimp_drawable_is_rgb,28
gimp_scale_entry_new->gimp_standard_help_func,28
strcpy->strerror,28
gimp_toggle_button_update->gtk_box_new,28
ExitProcess->GetModuleHandleExW,27
GetTickCount->GetLastError,27
__getmainargs->_amsg_exit,27
gimp_pixel_rgn_get_rect->gimp_pixel_rgn_init,27
gtk_toggle_button_set_active->gtk_widget_destroy,27
_amsg_exit->__p__commode,27
signal->strchr,27
_XcptFilter->_exit,26
CheckRadioButton->GetDlgItem,26
SetStdHandle->SetFilePointer,26
HeapValidate->GetCPInfo,26
WriteFile->GetCPInfo,26
GetProcessHeap->HeapFree,26
g_log->g_malloc,26
__main->_ctype_,26
abort->atoi,26
fputs->fread,26
fwrite->getc,26
__C_specific_handler->_initterm,26
VirtualFree->WriteFile,25
LocalAlloc->LocalFree,25
IsDebuggerPresent->SetUnhandledExceptionFilter,25
gimp_drawable_preview_new->gimp_ui_init,25
gimp_preview_get_position->gimp_preview_get_size,25
gimp_standard_help_func->gtk_box_new,25
libintl_vfprintf->GetModuleFileNameA,25
gimp_drawable_update->gimp_install_procedure,25
WriteFile->SetEvent,24
GetTickCount->GetProcAddress,24
UnregisterClassW->LoadStringW,24
RevertToSelf->RevertToSelf,24
RegOpenKeyExW->RegCloseKey,24
gimp_main->gimp_pixel_rgn_get_rect,24
gimp_tile_cache_ntiles->gimp_tile_width,24
_ctype_->abort,24
__setusermatherr->_cexit,24
_fmode->_commode,24
__p__commode->_XcptFilter,24
VirtualFree->RtlUnwind,23
GetLastError->SetLastError,23
LoadLibraryA->GetProcAddress,23
GetSystemInfo->VirtualQuery,23
GetLocalTime->GetCurrentProcessId,23
DestroyCaret->DdeQueryStringA,23
DdeQueryStringA->EnableMenuItem,23
EnableMenuItem->BeginPaint,23
BeginPaint->DefMDIChildProcW,23
DefMDIChildProcW->GetWindowTextA,23
GetWindowTextA->UnregisterClassW,23
LoadStringW->GetWindowLongW,23
GetWindowLongW->CharPrevA,23
CharPrevA->GetClipboardFormatNameA,23
GetClipboardFormatNameA->wsprintfW,23
wsprintfW->CascadeWindows,23
CascadeWindows->WinHelpW,23
WinHelpW->WaitMessage,23
WaitMessage->RegisterClipboardFormatW,23
RegisterClipboardFormatW->SetScrollInfo,23
SetScrollInfo->RealGetWindowClassW,23
RealGetWindowClassW->IsDialogMessageW,23
IsDialogMessageW->LoadBitmapW,23
LoadBitmapW->SetWindowsHookA,23
SetWindowsHookA->ChangeDisplaySettingsExW,23
ChangeDisplaySettingsExW->EndPaint,23
EndPaint->ExcludeUpdateRgn,23
ExcludeUpdateRgn->CharPrevW,23
CharPrevW->WINNLSGetEnableStatus,23
WINNLSGetEnableStatus->DdeFreeStringHandle,23
DdeFreeStringHandle->CountClipboardFormats,23
CountClipboardFormats->GetKeyState,23
GetKeyState->GetMenuItemID,23
GetMenuItemID->IMPQueryIMEW,23
IMPQueryIMEW->EnumThreadWindows,23
EnumThreadWindows->SetSystemCursor,23
SetSystemCursor->ToUnicode,23
ToUnicode->GetMenuItemInfoW,23
GetMenuItemInfoW->IsWindowEnabled,23
IsWindowEnabled->keybd_event,23
keybd_event->LookupIconIdFromDirectoryEx,23
LookupIconIdFromDirectoryEx->GetUserObjectInformationA,23
GetUserObjectInformationA->ClipCursor,23
ClipCursor->EditWndProc,23
EditWndProc->GetScrollPos,23
GetScrollPos->ImpersonateDdeClientWindow,23
ImpersonateDdeClientWindow->MapDialogRect,23
MapDialogRect->GetKeyNameTextW,23
GetKeyNameTextW->GetMenuStringW,23
GetMenuStringW->GetWindowPlacement,23
GetWindowPlacement->SetUserObjectInformationW,23
SetUserObjectInformationW->DefDlgProcW,23
DefDlgProcW->GetProcessDefaultLayout,23
GetProcessDefaultLayout->GetUpdateRect,23
GetUpdateRect->GetMessagePos,23
GetMessagePos->UpdateLayeredWindow,23
UpdateLayeredWindow->GetKBCodePage,23
GetKBCodePage->DdeImpersonateClient,23
DdeImpersonateClient->ChangeDisplaySettingsExA,23
ChangeDisplaySettingsExA->RegisterDeviceNotificationW,23
RegisterDeviceNotificationW->RemovePropW,23
RemovePropW->UnregisterClassA,23
UnregisterClassA->ChangeMenuA,23
ChangeMenuA->EnumDisplayDevicesA,23
EnumDisplayDevicesA->AllowSetForegroundWindow,23
AllowSetForegroundWindow->SwitchDesktop,23
SwitchDesktop->PostThreadMessageA,23
PostThreadMessageA->EnumClipboardFormats,23
EnumClipboardFormats->OpenWindowStationW,23
OpenWindowStationW->SetClipboardData,23
SetClipboardData->SendMessageW,23
SendMessageW->EnumPropsA,23
EnumPropsA->CharUpperW,23
CharUpperW->EnumDesktopsW,23
EnumDesktopsW->DlgDirListComboBoxA,23
DlgDirListComboBoxA->IsHungAppWindow,23
IsHungAppWindow->BroadcastSystemMessageA,23
BroadcastSystemMessageA->GetOpenClipboardWindow,23
GetOpenClipboardWindow->LoadIconA,23
SetDebugErrorLevel->DeferWindowPos,23
DeferWindowPos->SetDoubleClickTime,23
SetDoubleClickTime->GetDCEx,23
GetDCEx->CreateIconIndirect,23
CreateIconIndirect->ScrollWindow,23
ScrollWindow->DrawEdge,23
DrawEdge->AdjustWindowRect,23
AdjustWindowRect->MapVirtualKeyExA,23
MapVirtualKeyExA->GetMenuItemRect,23
GetMenuItemRect->WINNLSGetIMEHotkey,23
WINNLSGetIMEHotkey->EnumWindowStationsW,23
EnumWindowStationsW->GetWindowRect,23
GetWindowRect->DdeCreateStringHandleA,23
DdeCreateStringHandleA->DdeEnableCallback,23
DdeEnableCallback->LookupIconIdFromDirectory,23
LookupIconIdFromDirectory->PaintDesktop,23
PaintDesktop->CloseWindow,23
CloseWindow->DdeConnectList,23
DdeConnectList->EnumWindowStationsA,23
EnumWindowStationsA->OemToCharW,23
OemToCharW->InsertMenuW,23
InsertMenuW->CheckMenuItem,23
CheckMenuItem->HiliteMenuItem,23
HiliteMenuItem->CopyImage,23
CopyImage->DestroyWindow,23
DestroyWindow->CallWindowProcW,23
CallWindowProcW->DdeAccessData,23
DdeAccessData->GetWindowModuleFileNameA,23
GetWindowModuleFileNameA->IsZoomed,23
IsZoomed->WaitForInputIdle,23
WaitForInputIdle->InSendMessageEx,23
InSendMessageEx->LoadKeyboardLayoutW,23
LoadKeyboardLayoutW->OemToCharBuffW,23
OemToCharBuffW->GetClassLongW,23
GetClassLongW->DestroyIcon,23
DestroyIcon->InvalidateRect,23
InvalidateRect->SystemParametersInfoA,23
SystemParametersInfoA->GetSystemMenu,23
GetSystemMenu->DdeAbandonTransaction,23
DdeAbandonTransaction->GetCaretBlinkTime,23
GetCaretBlinkTime->InvertRect,23
InvertRect->DdeNameService,23
DdeNameService->GetShellWindow,23
GetShellWindow->SetCursorPos,23
SetCursorPos->RegisterShellHookWindow,23
RegisterShellHookWindow->GetWindow,23
GetWindow->DdeAddData,23
DdeAddData->WINNLSEnableIME,23
InvalidateRgn->CreateIconFromResource,23
CreateIconFromResource->GetIconInfo,23
GetIconInfo->IsCharLowerW,23
IsCharLowerW->OpenWindowStationA,23
OpenWindowStationA->DdeCreateStringHandleW,23
DdeCreateStringHandleW->GetUserObjectInformationW,23
GetUserObjectInformationW->GetUserObjectSecurity,23
SetParent->GetMenuItemCount,23
GetMenuItemCount->IsCharAlphaNumericW,23
IsCharAlphaNumericW->AppendMenuA,23
AppendMenuA->SetMenuItemInfoA,23
SetMenuItemInfoA->InsertMenuItemA,23
InsertMenuItemA->IMPGetIMEW,23
IMPGetIMEW->CharNextW,23
CharNextW->SetClassWord,23
SetClassWord->FrameRect,23
FrameRect->DestroyMenu,23
DestroyMenu->GetClassInfoExA,23
GetClassInfoExA->IsCharLowerA,23
IsCharLowerA->GetMenuBarInfo,23
IsCharUpperA->OpenInputDesktop,23
OpenInputDesktop->IsCharAlphaA,23
IsCharAlphaA->CloseWindowStation,23
CloseWindowStation->DrawTextExA,23
DrawTextExA->SetClipboardViewer,23
SetClipboardViewer->SetDlgItemInt,23
SetDlgItemInt->DdeQueryConvInfo,23
DdeQueryConvInfo->ChildWindowFromPointEx,23
ChildWindowFromPointEx->PostThreadMessageW,23
PostThreadMessageW->TabbedTextOutA,23
TabbedTextOutA->ClientToScreen,23
ClientToScreen->SetWindowLongW,23
SetWindowLongW->RemovePropA,23
RemovePropA->IMPSetIMEA,23
IMPSetIMEA->DefMDIChildProcA,23
DefMDIChildProcA->MapVirtualKeyA,23
MapVirtualKeyA->GetCursorInfo,23
GetCursorInfo->DdeDisconnect,23
DdeDisconnect->GetLastActivePopup,23
GetLastActivePopup->SetCapture,23
SetCapture->GetAltTabInfoW,23
GetAltTabInfoW->TileChildWindows,23
TileChildWindows->GetKeyNameTextA,23
GetKeyNameTextA->CheckRadioButton,23
GetDlgItem->CascadeChildWindows,23
CascadeChildWindows->VkKeyScanExW,23
VkKeyScanExW->FreeDDElParam,23
FreeDDElParam->UnpackDDElParam,23
CharLowerA->GetClassNameA,23
GetClassNameA->EnumPropsExA,23
EnumPropsExA->SetDlgItemTextW,23
SetDlgItemTextW->RegisterClassA,23
RegisterClassA->GetSubMenu,23
GetSubMenu->GetSystemMetrics,23
GetSystemMetrics->SetThreadDesktop,23
GetWindowTextW->FlashWindow,23
FlashWindow->LoadAcceleratorsA,23
LoadAcceleratorsA->DdeSetUserHandle,23
DdeSetUserHandle->DlgDirSelectComboBoxExA,23
DlgDirSelectComboBoxExA->OffsetRect,23
OffsetRect->InSendMessage,23
InSendMessage->ChangeDisplaySettingsW,23
ChangeDisplaySettingsW->CharLowerBuffA,23
CharLowerBuffA->EnumDisplaySettingsA,23
EnumDisplaySettingsA->GetDlgItemTextA,23
GetGuiResources->EnumDisplaySettingsExA,23
EnumDisplaySettingsExA->GetNextDlgTabItem,23
GetNextDlgTabItem->SetFocus,23
SetFocus->GetInputDesktop,23
GetInputDesktop->GetTabbedTextExtentW,23
GetTabbedTextExtentW->SetDeskWallpaper,23
SetDeskWallpaper->CreateAcceleratorTableW,23
CreateAcceleratorTableW->GetClipCursor,23
GetClipCursor->MenuItemFromPoint,23
MenuItemFromPoint->GetForegroundWindow,23
GetForegroundWindow->PeekMessageW,23
PeekMessageW->UpdateWindow,23
UpdateWindow->EnumPropsExW,23
EnumPropsExW->LoadKeyboardLayoutA,23
LoadKeyboardLayoutA->SetClassLongW,23
SetClassLongW->SendMessageCallbackW,23
SendMessageCallbackW->CallMsgFilter,23
CallMsgFilter->GetClassInfoA,23
GetClassInfoA->GetWindowModuleFileName,23
GetWindowModuleFileName->SendIMEMessageExA,23
SendIMEMessageExA->GetAsyncKeyState,23
WindowFromDC->OemToCharA,23
OemToCharA->CallMsgFilterA,23
CallMsgFilterA->GetDlgItemTextW,23
GetDlgItemTextW->GetTitleBarInfo,23
GetTitleBarInfo->memcpy,23
IsValidCodePage->GetACP,23
_unlock->__dllonexit,23
gimp_tile_width->gimp_locale_directory,23
gimp_preview_get_size->gimp_preview_invalidate,23
gtk_box_pack_start->gtk_container_get_type,23
_amsg_exit->__getmainargs,23
strcmp->strlen,23
_lock->_unlock,23
strcat->strchr,23
GetModuleHandleA->InterlockedExchange,22
CoCreateInstance->CoUninitialize,22
GetCurrentThreadId->GetSystemTimeAsFileTime,22
FlsGetValue->FlsSetValue,22
FindNextFileW->FindFirstFileW,22
RtlUnwind->VirtualProtect,22
Sleep->GetLastError,22
SetEvent->CreateThread,22
HeapAlloc->VirtualAlloc,22
gimp_pixel_rgns_process->gimp_pixel_rgns_register,22
atexit->calloc,22
realloc->setlocale,22
gimp_dialog_run->gimp_double_adjustment_update,22
LoadLibraryA->GetOEMCP,21
ExitProcess->HeapFree,21
DispatchMessageW->TranslateMessage,21
InterlockedDecrement->OutputDebugStringA,21
GetProcAddress->GetModuleHandleW,21
UnhandledExceptionFilter->GetCurrentProcess,21
__set_app_type->__getmainargs,21
_configthreadlocale->_initterm_e,21
gimp_drawable_has_alpha->gimp_drawable_is_gray,21
strncpy->strrchr,21
gimp_pixel_rgn_init->gimp_pixel_rgns_process,21
__p__fmode->_cexit,21
ferror->fflush,21
_exit->_XcptFilter,21
GetDC->ReleaseDC,20
FreeEnvironmentStringsW->GetEnvironmentStringsW,20
VirtualAllocEx->GetWindowsDirectoryA,20
GetLocaleInfoA->GetStringTypeW,20
GetLocaleInfoA->GetStartupInfoA,20
FlsSetValue->FlsFree,20
HeapAlloc->GetProcessHeap,20
exit->_exit,20
_invoke_watson->_controlfp_s,20
gimp_drawable_detach->gimp_drawable_get,20
gtk_dialog_set_alternative_button_order->gtk_table_get_type,20
gimp_drawable_mask_intersect->gimp_drawable_merge_shadow,20
gimp_pixel_rgns_register->gimp_plugin_menu_register,20
g_object_unref->g_signal_connect_data,20
gtk_check_button_new_with_mnemonic->gtk_container_add,20
putchar->puts,20
_except_handler4_common->_controlfp,20
_controlfp->?terminate@@YAXXZ,20
malloc->memcmp,20
memset->signal,20
gimp_drawable_is_rgb->gimp_drawable_mask_bounds,20
getc->getenv,20
vsnprintf->__printf__,20
gimp_pixel_rgn_init->gimp_pixel_rgn_set_rect,20
_controlfp_s->_invoke_watson,20
Sleep->GetProcAddress,19
RtlVirtualUnwind->UnhandledExceptionFilter,19
GetStringTypeA->HeapSize,19
GdipAlloc->GdipFree,19
VirtualProtect->GetSystemInfo,19
FileTimeToSystemTime->FileTimeToLocalFileTime,19
_allmul->_alldiv,19
IofCompleteRequest->swprintf,19
KeTickCount->KeBugCheckEx,19
RtlUnwind->KeGetCurrentIrql,19
GetDateFormatW->GetTimeFormatW,19
free->malloc,19
fgets->fopen,19
perror->printf,19
printf->putc,19
gimp_drawable_bpp->gimp_drawable_detach,19
gimp_standard_help_func->gimp_toggle_button_update,19
__dllonexit->_onexit,19
fflush->fopen,19
localeconv->malloc,19
gimp_drawable_mask_bounds->gimp_drawable_merge_shadow,19
_onexit->_lock,19
__CxxFrameHandler3->_CxxThrowException,19
HeapFree->TerminateProcess,18
WriteFile->HeapAlloc,18
CoUninitialize->CoInitialize,18
FreeLibrary->LoadLibraryExW,18
HeapSize->GetSystemTimeAsFileTime,18
CloseHandle->CreateFileA,18
LocalFree->LocalAlloc,18
